"","SRX008026","SRX008174","SRX008201","SRX008239","SRX008008","SRX008168","SRX008211","SRX008255","SRX008261"
"FBgn0000008",577.304138367309,589.663907967541,536.225842690176,595.584713276962,560.621392584934,581.625704778472,516.905282426707,536.32387905002,567.948691338044
"FBgn0000014",1147.76523199104,1197.37875189327,1121.87771957614,1217.76427861565,671.026784756731,695.314581916474,682.533383485969,668.758561325672,651.600048976981
"FBgn0000015",395.030310197458,443.752175638838,452.294841225627,431.816413738996,229.735771135925,255.388057338989,236.611572941803,256.089164621428,209.128394097342
"FBgn0000017",895.816766432031,1007.84392433228,952.150583281165,930.819822160235,780.109956662998,792.526810193896,789.918635821095,771.194227174244,838.714927906182
"FBgn0000018",93.3142465033365,96.2716584436801,95.1218016598226,97.2811693836637,122.635929627954,154.880499289452,120.125875493531,118.532699053347,107.866224323892
"FBgn0000024",1117.90467310997,1063.50097687003,1050.07008498981,1048.39706285416,562.274167916847,561.853726145776,607.90973355817,578.761512044428,517.317606451319
"FBgn0000028",59.0990227854465,70.6994991695776,56.8865676593057,47.5907878999218,20.4944141157228,26.3626381769279,16.3808012036632,15.3653498772857,35.221624269026
"FBgn0000032",255.681035419142,243.687635435565,236.871937466617,228.155836108449,366.585568618333,347.657290958237,394.959317910547,387.792163569591,358.820297240702
"FBgn0000036",523.181875395373,494.896494187043,534.360709324298,529.09758312266,123.29703976072,98.8598931634797,118.305786470901,126.581215655734,114.470278874334
"FBgn0000037",1192.55607031264,1164.28536930326,1187.1573873819,1216.36454955977,331.877286648157,319.646987895251,414.980297159469,363.646613762428,341.209485106189
"FBgn0000038",24.8837990675564,27.076403937285,28.9095671711226,19.5962067823207,20.1638590493402,28.0103030629859,30.9415133846973,21.9504998246938,15.4094606176989
"FBgn0000039",526.292350278818,562.587504030256,535.293276007237,493.404492197719,161.641427461104,179.595472580321,169.26827910452,179.99409856249,182.712175895572
"FBgn0000042",27884.7852351037,26366.4004562629,28986.0376391236,26698.4320118561,45591.4769757574,42835.9917077358,44825.1524493132,42878.1063575569,45118.9006886223
"FBgn0000043",1899.87805880793,2014.18360400137,1908.96399997703,1968.01905256735,2379.00481275576,2300.14018093696,2291.49207949023,2347.97179791475,2491.92991703359
"FBgn0000044",138261.852759064,134596.803972244,144804.291693421,134727.420951095,176217.914223379,167239.633599773,175238.171098744,167426.705729525,168110.611284544
"FBgn0000045",974.200733494833,932.631691173151,815.063280889068,963.013590445476,856.137621931002,761.221177358794,666.152582282306,883.873459607672,995.010885599984
"FBgn0000046",2784.49711565956,2719.67435103396,2863.91228330701,2790.35987289689,3210.35080470807,3148.68759725683,3285.2606858458,3053.31452561491,3044.46914775393
"FBgn0000047",4.97675981351128,4.5127339895475,10.2582335123338,0.699864527940026,13.8833127880703,4.94299465817399,3.6401780452585,1.46336665497959,0
"FBgn0000052",2284.33275440168,2367.68109984926,2297.84430676277,2397.73587272253,1454.11173701717,1393.92449360506,1239.48062441052,1499.95082135408,1556.35552238759
"FBgn0000053",956.782074147544,881.487372624946,950.285449915286,913.323208961734,595.660229621493,579.978039892414,524.185638517224,591.200128611754,640.59329139291
"FBgn0000054",457.861902843038,497.904983513408,494.260341957902,468.909233719818,582.107471899805,604.693013183284,526.005727539853,566.322895477101,633.989236842468
"FBgn0000057",304.826538577566,361.0187191638,326.398339028803,347.132805858253,329.232846117096,299.875009262555,333.076291141153,346.086213902673,363.223000274331
"FBgn0000061",299.849778764055,336.95080455288,343.184539321713,319.838089268592,270.724599367371,270.217041313511,285.753976552792,263.405997896326,305.987860837163
"FBgn0000063",29.2384639043788,27.076403937285,24.2467337564254,20.2960713102608,52.5582555548376,42.8392870375079,67.3432938372823,52.6811995792652,41.8256788194684
"FBgn0000064",40023.7245152344,38910.2967025418,39400.9423541912,41188.4271983264,34341.0352914247,33627.1926595576,31025.2374797382,36087.3533951242,38944.1096839587
"FBgn0000071",131.884135058049,123.348062380965,122.166235465066,135.073853892425,141.477568411764,159.823493947626,116.485697448272,160.970332047755,154.094606176989
"FBgn0000075",118.198045570893,108.30561574914,125.896502196824,100.780492023364,2366.7742752996,2341.33180308841,2327.89385994281,2304.07079826536,2355.44612299111
"FBgn0000077",193.471537750251,189.534827560995,206.097236929616,200.161254990848,140.485903212616,146.642174859162,154.707566923486,151.458448790388,118.872981907963
"FBgn0000078",3.11047488344455,6.01697865273001,3.73026673175775,1.39972905588005,5.28888106212202,6.59065954423198,7.280356090517,2.92673330995918,4.40270303362825
"FBgn0000079",664.397435103756,631.782758536651,778.69318025443,657.872656263625,976.129111027896,957.293298799695,1008.3293185366,876.556626332774,1006.01764318406
"FBgn0000083",5860.13468040953,5983.88527013999,5714.76863305287,5878.86203469622,7899.27442134562,7580.90614075284,7304.01724781118,8054.37006900766,8602.8817277096
"FBgn0000084",35.4594136712679,25.5721592741025,42.8980674152141,42.6917362043416,53.5499207539855,37.8962923793339,49.1424036109898,40.2425830119387,48.4297333699107
"FBgn0000092",88.3374866898253,112.818349738688,94.1892349768832,82.5840142969231,9.25554185871354,6.59065954423198,20.0209792489218,12.4386165673265,6.60405455044237
"FBgn0000097",798.147855091872,786.719958844448,777.760613571491,807.64366524279,618.799084268276,601.397683411168,598.809288445023,622.662511693815,587.760854989371
"FBgn0000099",83.360726876314,84.2377011382201,85.7961348304282,82.5840142969231,74.3748899360909,72.4972549865518,91.0044511314625,82.6802160063468,92.4567637061933
"FBgn0000100",59036.8132877776,58506.0919298202,57272.6502660426,60166.6536024761,53308.2850004598,52341.3704354043,48894.8715039122,54294.5613163802,59082.0733597743
"FBgn0000108",2935.66619499497,2942.30256118497,2931.05708447865,2984.92221166421,1417.4201246487,1504.31804097095,1428.76988276396,1360.93098913102,1400.05956469378
"FBgn0000109",448.530478192704,497.904983513408,456.957674640324,460.510859384537,692.18230900522,685.428592600126,742.596321232734,719.244710922468,728.647352065475
"FBgn0000114",215.244861934363,203.073029529638,200.501836831979,214.158545549648,106.438731375206,105.450552707712,92.8245401540917,112.679232433428,101.26216977345
"FBgn0000115",660.042770266934,568.604482682986,612.69631069121,648.074552872464,1064.71786881844,1069.33451105164,1070.212345306,1108.50024114704,1283.38793430263
"FBgn0000116",43721.4570566733,41682.6196167871,43005.3125837521,43691.8426147679,53872.2119437085,52372.6760682394,51244.6064321265,55324.0397581584,58690.2327897814
"FBgn0000117",5368.05755384861,5370.15344756153,5250.35042494903,5356.76309685296,4864.11780182035,4656.30096799989,4697.64976740609,4843.01194465495,4950.83956131497
"FBgn0000119",856.00268792394,852.906724024478,871.017281865434,907.724292738214,543.432529133038,635.998646018386,582.42848724136,554.615962237264,554.74058223716
"FBgn0000120",286.163689276899,264.74706072012,275.107171467134,277.14635306425,106.108176308823,82.3832443028998,83.7240950409455,107.557449141,121.074333424777
"FBgn0000121",27.994273951001,24.06791461092,45.6957674640324,27.9945811176011,13.5527577216877,13.181319088464,18.2008902262925,16.8287165322653,13.2081091008847
"FBgn0000137",19.9070392540451,13.5382019686425,25.1793004393648,19.5962067823207,21.8166343812533,13.181319088464,27.3013353394388,21.9504998246938,22.0135151681413
"FBgn0000139",256.92522537252,300.8489326365,270.444338052437,240.753397611369,275.021815230345,238.911408478409,249.352196100207,300.721847598306,294.981103253093
"FBgn0000140",72.7851122726025,73.7079884959426,67.1448011716395,72.0860463778227,122.635929627954,100.507558049538,143.787032787711,117.069332398367,112.26892735752
"FBgn0000142",903.904001128987,812.292118118551,934.431816305316,930.119957632295,537.813093004533,486.061141387109,587.888754309248,561.201112184673,576.754097405301
"FBgn0000146",41.680363438157,48.13582922184,51.291167561669,39.1924135646415,41.6499383642109,51.0776114677979,58.242848724136,38.7792163569591,55.0337879203531
"FBgn0000147",18.6628493006673,28.5806486004675,9.32566682939437,17.4966131985007,33.3860617046453,36.2486274932759,30.9415133846973,32.194066409551,28.6175697185836
"FBgn0000150",12656.5223007359,12488.2391937411,12388.2158161675,13269.4314497429,19156.6577620723,18529.6393086082,16184.2315892193,20184.947955461,22315.1003259448
"FBgn0000152",289.274164160343,276.78101802558,257.388404491285,241.453262139309,359.97446729068,392.144242881803,391.319139865289,364.378297089918,343.410836623003
"FBgn0000153",8.08723469695583,6.01697865273001,3.73026673175775,4.89905169558018,10.577762124244,11.533654202406,12.7406231584048,9.51188325736733,6.60405455044237
"FBgn0000157",141.215559708383,141.398998339155,113.773135318611,124.575885973325,68.7554538075863,64.2589305562618,69.1633828599115,74.6316994039591,94.6581152230074
"FBgn0000158",6.2209497668891,10.5297126422775,6.52796678057606,6.29878075146024,23.7999647795491,28.0103030629859,16.3808012036632,21.9504998246938,52.832436403539
"FBgn0000163",377.611650850169,345.976272531975,380.48720663929,380.726303199374,367.57723381748,395.439572653919,325.795935050636,359.256513797489,400.645976060171
"FBgn0000171",8949.45833464666,8890.08595940858,8856.58578787583,9277.40418237299,6353.92948600684,6338.56681666511,5791.52327000627,6530.27369784642,7053.13025987246
"FBgn0000173",1158.34084659475,1180.83206059826,1111.61948606381,1066.5935405806,1361.55631843004,1291.76927066947,1425.1297047187,1397.51515550551,1395.65686166016
"FBgn0000179",288.029974206965,300.8489326365,290.028238394165,281.345540231891,126.602590424546,136.756185542814,101.924985267238,138.288148895571,149.69190314336
"FBgn0000180",48.523408181735,45.127339895475,54.0888676104874,48.2906524278618,36.0305022357063,32.9532977211599,10.9205341357755,32.9257497370408,37.4229757858401
"FBgn0000181",20965.8449043697,20770.610309224,20849.393330477,21385.0605157354,16619.3170725193,16639.7676842997,16255.2150611018,17227.4839457472,17619.6175405803
"FBgn0000182",0.62209497668891,0,2.79770004881831,1.39972905588005,0.330555066382626,0,1.82008902262925,0.731683327489795,4.40270303362825
"FBgn0000183",1241.70157347106,1299.66738898968,1260.83015533412,1233.16129823033,1801.52511178531,1888.22395942246,2040.31979436739,1815.30633550218,1800.70554075395
"FBgn0000206",24.2617040908675,30.08489326365,27.0444338052437,23.7953939499609,14.5444229208356,16.47664886058,20.0209792489218,10.2435665848571,11.0067575840706
"FBgn0000210",314.780058204589,371.548431806078,361.835872980502,328.936328131812,99.1665199147879,102.155222935596,96.4647181993503,109.020815795979,112.26892735752
"FBgn0000212",1863.79655015998,1856.23791436721,1826.89813187836,1837.84425037051,2045.47475077569,2013.44649076287,1998.45774684692,2020.90935052681,2062.66637125484
"FBgn0000216",3.11047488344455,1.5042446631825,0.932566682939437,1.39972905588005,2.64444053106101,3.29532977211599,0,0,2.20135151681413
"FBgn0000221",116.331760640826,139.894753675973,126.829068879763,118.976969749804,102.802625644997,102.155222935596,83.7240950409455,125.117849000755,99.0608182566356
